timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
154224544,1.98036e-07,2.36813e-05,5.17174e-09,0.740332,3.67291e-06,-3.93179e-06,0.672248,0.0,0.0,0.0,0.0,0
154403482,2.21997e-07,2.47955e-05,4.8706e-09,0.740332,3.71504e-06,-3.96682e-06,0.672248,0.0,0.0,0.0,0.0,0
154454340,2.57319e-07,2.5012e-05,-1.11187e-07,0.740332,3.7122e-06,-3.97831e-06,0.672248,0.0,0.0,0.0,0.0,0
154508490,2.55883e-07,2.51714e-05,-1.09659e-07,0.740332,3.70406e-06,-3.98489e-06,0.672248,0.0,0.0,0.0,0.0,0
154560511,2.52615e-07,2.52915e-05,-1.08226e-07,0.740332,3.71642e-06,-3.96725e-06,0.672248,0.0,0.0,0.0,0.0,0
154613587,2.48132e-07,2.53782e-05,-1.06827e-07,0.740332,3.70458e-06,-3.96698e-06,0.672248,0.0,0.0,0.0,0.0,0
154664480,2.42713e-07,2.54369e-05,-1.05417e-07,0.740332,3.6907e-06,-3.96452e-06,0.672248,0.0,0.0,0.0,0.0,0
154717496,2.36539e-07,2.54718e-05,-1.03967e-07,0.740332,3.69665e-06,-3.94049e-06,0.672248,0.0,0.0,0.0,0.0,0
154769475,2.29719e-07,2.54865e-05,-1.02455e-07,0.740332,3.67936e-06,-3.93435e-06,0.672248,0.0,0.0,0.0,0.0,0
154821499,2.2234e-07,2.54838e-05,-1.00865e-07,0.740332,3.66101e-06,-3.92627e-06,0.672248,0.0,0.0,0.0,0.0,0
154873556,2.14456e-07,2.54659e-05,-9.91865e-08,0.740332,3.64131e-06,-3.91676e-06,0.672248,0.0,0.0,0.0,0.0,0
154925587,2.06117e-07,2.54347e-05,-9.74108e-08,0.740332,3.64071e-06,-3.88745e-06,0.672248,0.0,0.0,0.0,0.0,0
154977475,1.97348e-07,2.53918e-05,-9.55331e-08,0.740332,3.6186e-06,-3.87538e-06,0.672248,0.0,0.0,0.0,0.0,0
155030580,1.88179e-07,2.53382e-05,-9.35498e-08,0.740332,3.59581e-06,-3.86177e-06,0.672248,0.0,0.0,0.0,0.0,0
155082520,1.78625e-07,2.5275e-05,-9.14592e-08,0.740332,3.57199e-06,-3.84706e-06,0.672248,0.0,0.0,0.0,0.0,0
155135611,1.68702e-07,2.5203e-05,-8.92602e-08,0.740332,3.56562e-06,-3.81456e-06,0.672248,0.0,0.0,0.0,0.0,0
155188515,1.59226e-07,2.51292e-05,-8.71343e-08,0.740332,3.53399e-06,-3.80629e-06,0.672248,0.0,0.0,0.0,0.0,0
155243474,1.4945e-07,2.50488e-05,-8.49162e-08,0.740332,3.51919e-06,-3.7812e-06,0.672248,0.0,0.0,0.0,0.0,0
