timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
13645161,6.21601e-07,9.66012e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
13822199,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
13877236,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
13927408,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
13979668,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
14031783,6.21515e-07,9.65202e-06,2.11635e-09,0.70711,1.57749e-06,-1.51051e-06,0.70711,0.0,0.0,0.0,0.0,0
14080601,6.21316e-07,9.63636e-06,2.11616e-09,0.70711,1.57778e-06,-1.51081e-06,0.70711,0.0,0.0,0.0,0.0,0
14136548,6.20841e-07,9.59772e-06,2.11572e-09,0.70711,1.57841e-06,-1.51145e-06,0.70711,0.0,0.0,0.0,0.0,0
14191425,6.20337e-07,9.57358e-06,2.11486e-09,0.70711,1.57973e-06,-1.51279e-06,0.70711,0.0,0.0,0.0,0.0,0
14244426,6.1903e-07,9.5206e-06,2.113e-09,0.70711,1.58231e-06,-1.51543e-06,0.70711,0.0,0.0,0.0,0.0,0
14293639,6.15458e-07,9.50671e-06,2.11052e-09,0.70711,1.58564e-06,-1.51884e-06,0.70711,0.0,0.0,0.0,0.0,0
14347623,6.12346e-07,9.47766e-06,2.10714e-09,0.70711,1.59004e-06,-1.52335e-06,0.70711,0.0,0.0,0.0,0.0,0
14399723,6.14995e-07,9.48247e-06,2.10305e-09,0.70711,1.59527e-06,-1.5287e-06,0.70711,0.0,0.0,0.0,0.0,0
