timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
579517045,6.21601e-07,9.66017e-06,2.1164e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
579745824,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
579799406,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
579849948,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
579903003,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
579954971,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580008023,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580060830,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580114629,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580165247,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580219838,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580271649,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580323390,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580376392,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580427494,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580475994,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580529768,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580584699,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580637667,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580688473,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580744046,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580793766,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
580846239,6.21601e-07,9.6601e-06,2.11641e-09,0.70711,1.57742e-06,-1.51044e-06,0.70711,0.0,0.0,0.0,0.0,0
