timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
14613700,0,0.0,0.0,0.0,0.0,-0.0898523,-6.25479e-07,-6.16906e-07,0.0,-0.0187528,-0.00404358,-0.115155,-0.0733154,-0.000250242,-0.000246812,0.0,-0.00388193,0.0136334,-0.0945549,1.60975,0.0,0.100238,0.115155,0.321479,0.545041,0.451957,0.255923,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14617623,0,0.0,0.0,0.0,0.0,-0.0901659,-6.25479e-07,-6.16906e-07,0.0,-0.0187694,-0.00392484,-0.115141,-0.0734037,-0.000250242,-0.000246812,0.0,-0.0397816,0.0265242,-0.023272,1.60972,0.0,0.1,0.115141,0.32521,0.547251,0.455169,0.256162,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14671621,0,0.0,0.0,0.0,0.0,-0.0931302,-6.25479e-07,-6.16906e-07,0.0,-0.0186863,-0.00393772,-0.116832,-0.0736158,-0.000250242,-0.000246812,0.0,-0.0189387,0.00186558,-0.0608974,1.60921,0.0,0.122269,0.116832,0.288889,0.522038,0.420644,0.24426,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14722743,0,0.0,0.0,0.0,0.0,-0.0941425,-6.25479e-07,-6.16906e-07,0.0,-0.0194105,-0.00449419,-0.117824,-0.0710453,-0.000250242,-0.000246812,0.0,-0.0844369,-0.0987389,-0.111294,1.60852,0.0,0.122747,0.117824,0.279976,0.513693,0.415562,0.239733,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14774619,0,0.0,0.0,0.0,0.0,-0.0949282,-6.25479e-07,-6.16906e-07,0.0,-0.0188473,-0.00618275,-0.118239,-0.0680729,-0.000250242,-0.000246812,0.0,-0.0361251,-0.0159046,0.00394082,1.60787,0.0,0.117369,0.118239,0.299252,0.525258,0.436102,0.241719,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14827553,0,0.0,0.0,0.0,0.0,-0.0975416,-6.25479e-07,-6.16906e-07,0.0,-0.0199734,-0.00636101,-0.118723,-0.0667611,-0.000250242,-0.000246812,0.0,3.46554e-05,0.0767777,0.0223026,1.6074,0.0,0.114453,0.118723,0.316471,0.535021,0.454282,0.243509,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14878621,0,0.0,0.0,0.0,0.0,-0.100241,-6.25479e-07,-6.16906e-07,0.0,-0.0189624,-0.0064254,-0.117463,-0.0644855,-0.000250242,-0.000246812,0.0,-0.0265211,-0.0265221,0.0364379,1.60694,0.0,0.112116,0.117463,0.333161,0.544051,0.471203,0.245361,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14930689,0,0.0,0.0,0.0,0.0,-0.103576,-6.25479e-07,-6.16906e-07,0.0,-0.0183046,-0.00507202,-0.117066,-0.0638373,-0.000250242,-0.000246812,0.0,-0.0208288,-0.0688536,0.100863,1.60665,0.0,0.108241,0.117066,0.357841,0.55676,0.493775,0.247665,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14983858,0,0.0,0.0,0.0,0.0,-0.108148,-6.25479e-07,-6.16906e-07,0.0,-0.017117,-0.00550316,-0.118245,-0.0653767,-0.000250242,-0.000246812,0.0,0.0280153,0.0653202,-0.0974275,1.60628,0.0,0.106892,0.118245,0.378782,0.56702,0.51231,0.249701,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15039627,0,0.0,0.0,0.0,0.0,-0.112807,-6.25479e-07,-6.16906e-07,0.0,-0.0179173,-0.00582115,-0.1184,-0.0665414,-0.000250242,-0.000246812,0.0,-0.0617295,0.0112706,-0.0826528,1.60587,0.0,0.104151,0.1184,0.405487,0.579535,0.534822,0.252179,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15091645,0,0.0,0.0,0.0,0.0,-0.116944,-6.25479e-07,-6.16906e-07,0.0,-0.0171691,-0.0048808,-0.11803,-0.0665547,-0.000250242,-0.000246812,0.0,-0.0125126,0.00107064,0.00199485,1.60574,0.0,0.128134,0.11803,0.366912,0.566064,0.490086,0.246726,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15144641,0,0.0,0.0,0.0,0.0,-0.116593,-6.25479e-07,-6.16906e-07,0.0,-0.0171941,-0.00508808,-0.117027,-0.0615554,-0.000250242,-0.000246812,0.0,-0.00553492,-0.0908581,0.050834,1.60566,0.0,0.124626,0.117027,0.346112,0.556215,0.465099,0.242578,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15194660,0,0.0,0.0,0.0,0.0,-0.117498,-6.25479e-07,-6.16906e-07,0.0,-0.0178607,-0.00394761,-0.117485,-0.0597221,-0.000250242,-0.000246812,0.0,0.049252,-0.0724189,-0.0890086,1.60567,0.0,0.119507,0.117485,0.366047,0.566259,0.481859,0.244996,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15247609,0,0.0,0.0,0.0,0.0,-0.119382,-6.25479e-07,-6.16906e-07,0.0,-0.0183228,-0.0039848,-0.117595,-0.0584031,-0.000250242,-0.000246812,0.0,-0.00736961,-0.0561648,-0.106783,1.60569,0.0,0.114754,0.117595,0.390024,0.577853,0.500773,0.247898,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15299686,0,0.0,0.0,0.0,0.0,-0.121758,-6.25479e-07,-6.16906e-07,0.0,-0.0183692,-0.00360124,-0.117988,-0.058219,-0.000250242,-0.000246812,0.0,-0.0780633,0.048271,-0.0675401,1.60563,0.0,0.116295,0.117988,0.357789,0.565327,0.463424,0.243701,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15349652,0,0.0,0.0,0.0,0.0,-0.12336,-6.25479e-07,-6.16906e-07,0.0,-0.017282,-0.00341581,-0.116676,-0.0560262,-0.000250242,-0.000246812,0.0,0.00936729,-0.0268566,-0.0566012,1.60553,0.0,0.112132,0.116676,0.338499,0.554744,0.44204,0.240464,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15405734,0,0.0,0.0,0.0,0.0,-0.126536,-6.25479e-07,-6.16906e-07,0.0,-0.0170198,-0.00257017,-0.116956,-0.056347,-0.000250242,-0.000246812,0.0,0.0130105,0.0233711,0.00779303,1.60536,0.0,0.109152,0.116956,0.359671,0.565636,0.457663,0.243698,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15455673,0,0.0,0.0,0.0,0.0,-0.129416,-6.25479e-07,-6.16906e-07,0.0,-0.0173544,-0.000713481,-0.118176,-0.0569813,-0.000250242,-0.000246812,0.0,-0.0302857,0.00533651,-0.0856601,1.60529,0.0,0.113818,0.118176,0.336388,0.553149,0.432932,0.240332,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15509641,0,0.0,0.0,0.0,0.0,-0.132713,-6.25479e-07,-6.16906e-07,0.0,-0.0179474,-0.00106121,-0.118658,-0.0572728,-0.000250242,-0.000246812,0.0,0.00408287,0.0208849,-0.117666,1.60516,0.0,0.112237,0.118658,0.352165,0.561353,0.445085,0.24324,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15564688,0,0.0,0.0,0.0,0.0,-0.11946,-6.25479e-07,-6.16906e-07,0.0,-0.0160811,-0.000515016,-0.112399,-0.0342547,-0.000250242,-0.000246812,0.0,0.11016,0.127311,0.117624,1.60508,0.0,0.23211,0.112399,0.331847,0.550262,0.422485,0.240685,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
