timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
14593623,-0.00201459,0.00256223,-0.000393296,0.693135,0.00164793,-0.0140063,0.72067,0.701156,0.0144512,-0.0147945,0.712708,1
14597640,0.00360651,0.000143053,0.00110015,0.693141,0.00165095,-0.0140024,0.720665,0.701156,0.0144512,-0.0147945,0.712708,1
14647609,-0.00173163,0.000896158,-0.00611665,0.693335,0.00161936,-0.0139868,0.720478,0.701156,0.0144512,-0.0147945,0.712708,1
14699618,0.00261919,-0.00240875,0.00153165,0.693545,0.00157294,-0.0139558,0.720276,0.701156,0.0144512,-0.0147945,0.712708,1
14755692,0.00538638,-0.00572639,-0.0137587,0.693786,0.00151446,-0.0139148,0.720045,0.701156,0.0144512,-0.0147945,0.712708,1
14807619,-0.00308801,0.00324172,-0.00079741,0.693987,0.00153469,-0.0139071,0.719851,0.701156,0.0144512,-0.0147945,0.712708,1
14858684,-0.00218194,0.00131198,-0.0104479,0.694118,0.00145577,-0.013875,0.719726,0.701156,0.0144512,-0.0147945,0.712708,1
14911630,-0.00603719,0.00398489,0.00392933,0.694288,0.00141816,-0.0139155,0.719561,0.701156,0.0144512,-0.0147945,0.712708,1
14964666,0.0115975,0.00663032,-0.00840312,0.694384,0.00144593,-0.0137665,0.719472,0.701156,0.0144512,-0.0147945,0.712708,1
15014622,0.00966589,0.00460251,0.00157194,0.694521,0.0014866,-0.0137004,0.719341,0.701156,0.0144512,-0.0147945,0.712708,1
15066621,0.00285769,0.000137282,0.00613649,0.694619,0.00151027,-0.0137022,0.719246,0.701156,0.0144512,-0.0147945,0.712708,1
15121621,-0.000601237,0.00453733,-0.0134454,0.694695,0.00150278,-0.0136612,0.719173,0.701156,0.0144512,-0.0147945,0.712708,1
15174636,0.0049844,0.00711087,0.000280067,0.694665,0.00148251,-0.0136242,0.719203,0.701156,0.0144512,-0.0147945,0.712708,1
15226623,0.00504871,-0.00535216,-0.00518231,0.694677,0.00153752,-0.0135783,0.719192,0.701156,0.0144512,-0.0147945,0.712708,1
15279623,0.0047744,-0.00443271,-0.00787396,0.694671,0.00157266,-0.0136281,0.719197,0.701156,0.0144512,-0.0147945,0.712708,1
15333606,0.00449855,0.0101665,-0.00832187,0.694713,0.00155997,-0.0136066,0.719157,0.701156,0.0144512,-0.0147945,0.712708,1
15383624,-0.00213373,0.00286793,-0.00507576,0.694734,0.00153917,-0.0136223,0.719136,0.701156,0.0144512,-0.0147945,0.712708,1
15436193,0.000234343,0.00792678,0.00121465,0.694791,0.00147813,-0.0136125,0.719081,0.701156,0.0144512,-0.0147945,0.712708,1
15490681,0.00770074,0.00400803,-0.000114774,0.694847,0.00154969,-0.0136138,0.719027,0.701156,0.0144512,-0.0147945,0.712708,1
15542815,-0.0108082,0.00290988,-5.89921e-05,0.694861,0.00156531,-0.0135774,0.719014,0.701156,0.0144512,-0.0147945,0.712708,1
15591622,-0.00458071,-0.00102978,-0.00583979,0.694878,0.00152269,-0.013636,0.718997,0.701156,0.0144512,-0.0147945,0.712708,1
15646678,-0.00100699,0.00798875,0.00194208,0.694877,0.00150508,-0.0135931,0.718999,0.701156,0.0144512,-0.0147945,0.712708,1
15700691,-0.00404942,-0.00174663,-0.00547233,0.694881,0.00143938,-0.013581,0.718996,0.701156,0.0144512,-0.0147945,0.712708,1
